country;year;estimate;lower;upper;llower;uupper
3;1985;0.010271984;0.009018684;0.011709728;0.006799245;0.014901779
3;1986;0.005724453;0.004834305;0.006772145;0.003395114;0.008910953
3;1987;0.005743714;0.004867655;0.006763893;0.003408172;0.009054248
3;1988;0.005486283;0.004597702;0.006427412;0.00320271;0.008695872
3;1989;0.006216853;0.00526466;0.007290723;0.003772;0.009692928
3;1990;0.005966406;0.005013607;0.006989672;0.003501098;0.009369129
3;1991;0.008536389;0.007374434;0.009810611;0.005468598;0.01256584
3;1992;0.009296774;0.00810592;0.01062477;0.006153049;0.013647551
3;1993;0.006509335;0.005505334;0.007674898;0.003840129;0.009971454
3;1994;0.007635114;0.0065064;0.008787557;0.004780939;0.011350332
3;1995;0.008388439;0.00722953;0.009637271;0.005423328;0.012548798
3;1996;0.007792781;0.006657746;0.008979135;0.004960292;0.011640938
3;1997;0.014144502;0.012610191;0.015842521;0.009966519;0.019509919
3;1998;0.011807363;0.01049194;0.013285523;0.008089244;0.016586082
3;1999;0.01650238;0.014744883;0.018488788;0.011815564;0.022607124
3;2000;0.017913169;0.016060116;0.019876089;0.012923185;0.024259663
3;2001;0.013704676;0.0121129;0.015373059;0.009557046;0.019021528
3;2002;0.01424621;0.012634863;0.015935119;0.009936477;0.019839807
3;2003;0.015931157;0.014201733;0.017910266;0.011457061;0.021831385
3;2004;0.007635654;0.006534956;0.008875298;0.004573658;0.011534586
3;2005;0.012356884;0.010851161;0.01393026;0.008373474;0.017620539
3;2006;0.015482043;0.013770449;0.017148793;0.010813991;0.021242918
3;2007;0.015425448;0.013686476;0.017313212;0.010977275;0.021150058
3;2008;0.017296677;0.015460552;0.019219557;0.012451629;0.023438929
3;2009;0.01473807;0.013131439;0.016512155;0.010492537;0.020302805
3;2010;0.0169738;0.015221037;0.019028452;0.012397051;0.022989878
3;2011;0.018957631;0.016985309;0.020974759;0.013551998;0.025385409
3;2012;0.015016447;0.013440529;0.016800403;0.01047596;0.020895701
3;2013;0.014361698;0.012758315;0.016060571;0.010054681;0.019833269
3;2014;0.011471975;0.010057869;0.01296785;0.007677758;0.016194714
3;2015;0.011209123;0.009745936;0.012740891;0.007370041;0.01607624
3;2016;0.00737871;0.006238818;0.008712103;0.004335817;0.011637654
1;1985;0.008303559;0.00726956;0.009397473;0.005501795;0.011816078
1;1986;0.009843237;0.008719162;0.011205539;0.006913314;0.014337037
1;1987;0.009464079;0.008388327;0.010684733;0.006596385;0.013634674
1;1988;0.009317367;0.008291791;0.010451956;0.006441241;0.013187802
1;1989;0.008680492;0.007650946;0.009774618;0.00587;0.012228241
1;1990;0.012695678;0.011128209;0.014453562;0.009013498;0.018374638
1;1991;0.008667629;0.007555374;0.009735036;0.005723539;0.012036877
1;1992;0.008758105;0.007682517;0.009849168;0.005863366;0.012118729
1;1993;0.008556559;0.007487438;0.009675309;0.005743747;0.01181972
1;1994;0.008358326;0.00731779;0.009515383;0.005508366;0.011710113
1;1995;0.01055887;0.009497584;0.011777538;0.007439813;0.014634191
1;1996;0.010381475;0.009311339;0.01156867;0.007329013;0.014577931
1;1997;0.011756153;0.010531273;0.013038988;0.008604233;0.016171753
1;1998;0.011234495;0.010141087;0.012531917;0.008044495;0.015398605
1;1999;0.010818916;0.009666319;0.011970342;0.007656785;0.014522877
1;2000;0.01089219;0.009752397;0.012153894;0.007570283;0.015212233
1;2001;0.009597289;0.00847308;0.010782355;0.006329467;0.013256654
1;2002;0.01320014;0.011808617;0.014811443;0.00959174;0.018279633
1;2003;0.01126589;0.010083503;0.01247546;0.007978522;0.015180281
1;2004;0.01376617;0.012385558;0.015353633;0.010168986;0.018971965
1;2005;0.011243162;0.009996779;0.012491343;0.007689529;0.015184549
1;2006;0.010967275;0.009745049;0.012300687;0.007509282;0.015021227
1;2007;0.017293374;0.015339436;0.019448089;0.012564856;0.024050168
1;2008;0.013381919;0.012053744;0.01479153;0.009596515;0.018069586
1;2009;0.014687927;0.013286878;0.016356512;0.010870959;0.020202808
1;2010;0.01267908;0.011290746;0.014052968;0.008829231;0.017066687
1;2011;0.01254961;0.011127824;0.014006735;0.008738301;0.017114894
1;2012;0.01829815;0.016333782;0.020538005;0.013401183;0.025402418
1;2013;0.011549899;0.010120455;0.012967039;0.007630139;0.01574006
1;2014;0.015161985;0.01364446;0.016713416;0.01114045;0.020683853
1;2015;0.013221631;0.011793178;0.014797442;0.009280832;0.018150175
1;2016;0.013447986;0.01195928;0.014929914;0.009343103;0.018406424
4;1985;0.00760629;0.006395381;0.009002155;0.004537688;0.012326317
4;1986;0.006292805;0.005229572;0.007464362;0.003523189;0.010381403
4;1987;0.005088512;0.004101958;0.006178977;0.002620166;0.008870536
4;1988;0.007256122;0.006036233;0.008594107;0.004268863;0.011840896
4;1989;0.006858412;0.005764789;0.008210502;0.00390203;0.011199029
4;1990;0.015456049;0.013365877;0.017840731;0.009995365;0.022896712
4;1991;0.004759658;0.003837152;0.005853345;0.002433401;0.008406575
4;1992;0.006515835;0.005448467;0.007824304;0.0036832;0.010717484
4;1993;0.006112362;0.005073062;0.007297841;0.003446452;0.009902939
4;1994;0.004895148;0.003964378;0.005936063;0.002551558;0.008358562
4;1995;0.00577523;0.004763965;0.006922278;0.003165188;0.009443573
4;1996;0.005836185;0.004824808;0.006968255;0.003242079;0.009702267
4;1997;0.008634784;0.007310615;0.010171814;0.005200759;0.013814745
4;1998;0.005526293;0.00446914;0.006676896;0.002871624;0.009183193
4;1999;0.009247653;0.007909633;0.010863275;0.005640681;0.014617941
4;2000;0.007820784;0.006581757;0.009190315;0.00464616;0.012445983
4;2001;0.004733495;0.003851285;0.005852278;0.002374175;0.008121754
4;2002;0.006012903;0.004959777;0.00721987;0.003284534;0.009958719
4;2003;0.008970112;0.007582542;0.010602839;0.005540799;0.014353258
4;2004;0.010097521;0.008647138;0.011751224;0.006242119;0.015524802
4;2005;0.008506723;0.007230627;0.009981067;0.005188875;0.013296097
4;2006;0.012309576;0.010641291;0.014141223;0.007927625;0.01857322
4;2007;0.015839666;0.01387297;0.018328509;0.010572572;0.023432585
4;2008;0.008673944;0.007354282;0.010165697;0.00527476;0.013504154
4;2009;0.008779921;0.007411008;0.010256297;0.005374068;0.013505872
4;2010;0.013704148;0.011892049;0.015767557;0.008907018;0.020419989
4;2011;0.010920498;0.009392234;0.01273643;0.006899155;0.016832728
4;2012;0.007377738;0.006159255;0.008770568;0.004225098;0.011840415
4;2013;0.009944742;0.008522871;0.01164247;0.006144771;0.015591108
4;2014;0.006534756;0.005387291;0.007848986;0.003521862;0.010828095
4;2015;0.007514822;0.006257582;0.008899523;0.004287713;0.01224664
4;2016;0.008131293;0.006774559;0.009590127;0.004595475;0.012940461
5;1985;0.003022571;0.002586386;0.003464507;0.001742369;0.004348145
5;1986;0.003036019;0.002558552;0.003466418;0.001652717;0.004375612
5;1987;0.003461816;0.003052404;0.003908038;0.002306879;0.005129938
5;1988;0.003401859;0.002975228;0.003821795;0.002152379;0.004851513
5;1989;0.00345234;0.002997777;0.003874219;0.002072221;0.004797272
5;1990;0.00380177;0.003389118;0.00429355;0.002582019;0.005742551
5;1991;0.003772726;0.003340184;0.00422084;0.002480005;0.005271152
5;1992;0.004008038;0.003581622;0.004455572;0.002819419;0.005775459
5;1993;0.004200341;0.003768294;0.004685062;0.002986785;0.006311067
5;1994;0.004164794;0.00373194;0.004603982;0.002832849;0.005939597
5;1995;0.004275363;0.003851207;0.004737807;0.002861825;0.006045416
5;1996;0.004407554;0.003976588;0.004839812;0.003033119;0.006135159
5;1997;0.004737865;0.004308855;0.005263625;0.003470739;0.006973467
5;1998;0.004857908;0.004408763;0.005374598;0.003605679;0.007160623
5;1999;0.004686868;0.004201261;0.005123992;0.003002771;0.006357003
5;2000;0.005195719;0.004745964;0.005780643;0.003830017;0.007784627
5;2001;0.005027205;0.004559369;0.005490091;0.003451135;0.006730608
5;2002;0.005238325;0.004779738;0.005697952;0.003694829;0.00722688
5;2003;0.005641141;0.005170118;0.006202379;0.004207006;0.008036896
5;2004;0.005084325;0.004372271;0.005638279;0.002840075;0.006628003
5;2005;0.005765022;0.005248566;0.006307233;0.004121816;0.007769806
5;2006;0.006917757;0.006135157;0.008203746;0.005266049;0.011625831
5;2007;0.005780532;0.005133835;0.00630939;0.003642095;0.007460532
5;2008;0.006227023;0.005654378;0.006792525;0.004344834;0.008448776
5;2009;0.006575894;0.00597592;0.007220832;0.004726882;0.009130941
5;2010;0.006596025;0.005978895;0.007217653;0.004663401;0.009026159
5;2011;0.006577489;0.005889195;0.00721875;0.004367909;0.008756883
5;2012;0.007202816;0.00654276;0.007959643;0.005178692;0.009981262
5;2013;0.007180125;0.006455585;0.007898327;0.004890813;0.009762723
5;2014;0.007085227;0.006273761;0.007877878;0.00445437;0.009670725
5;2015;0.00813618;0.007295914;0.009152158;0.00595989;0.011847746
5;2016;0.007703905;0.0068445;0.008575635;0.005015883;0.010537059
0;1985;0.006158446;0.005246028;0.007196673;0.003771321;0.009673192
0;1986;0.006898059;0.005883748;0.00803565;0.004298262;0.01079015
0;1987;0.006371545;0.005425089;0.007391217;0.003960049;0.009815669
0;1988;0.005839678;0.004949154;0.006802865;0.003573845;0.009025248
0;1989;0.003963731;0.003283123;0.004754134;0.002208295;0.006543478
0;1990;0.004288734;0.003576366;0.005075403;0.002463956;0.007050449
0;1991;0.00386815;0.003170495;0.004679437;0.002048979;0.006351468
0;1992;0.00719461;0.006234417;0.008320714;0.004669195;0.010851969
0;1993;0.004328507;0.00358917;0.005147487;0.002448397;0.006733888
0;1994;0.006425545;0.005561506;0.007428265;0.004053515;0.009812079
0;1995;0.005037161;0.00422955;0.005992905;0.002926175;0.007977322
0;1996;0.006313696;0.005426612;0.007333172;0.003926261;0.009670999
0;1997;0.00614369;0.005262402;0.007123097;0.003838787;0.009318982
0;1998;0.009255417;0.008092121;0.010527746;0.006147188;0.013365437
0;1999;0.009375801;0.008208441;0.010704836;0.00639152;0.013702083
0;2000;0.009126411;0.007995584;0.010428486;0.006118131;0.013370357
0;2001;0.00757336;0.006531925;0.008701818;0.004842464;0.011245005
0;2002;0.009473162;0.008252722;0.010770302;0.006249222;0.013645147
0;2003;0.014490553;0.012871649;0.0161882;0.010417781;0.019986324
0;2004;0.009285101;0.008117736;0.010583016;0.00607991;0.013443303
0;2005;0.016001676;0.014361865;0.017866059;0.011569806;0.021934714
0;2006;0.014959452;0.013276136;0.01681238;0.010622872;0.020732788
0;2007;0.011552471;0.010119659;0.013020012;0.00780946;0.016341465
0;2008;0.011310199;0.009969739;0.012730833;0.007720021;0.015896013
0;2009;0.019984611;0.017982722;0.022200468;0.014730318;0.026760512
0;2010;0.011942263;0.010492317;0.013489722;0.008248038;0.016696989
0;2011;0.013596213;0.012167818;0.015197716;0.009717102;0.018805715
0;2012;0.014594882;0.013006626;0.016244255;0.010394936;0.019757389
0;2013;0.01273957;0.01116167;0.014334445;0.008555185;0.017600472
0;2014;0.018924114;0.017105186;0.021017447;0.013894192;0.025467838
0;2015;0.013750983;0.012232944;0.015446284;0.009575366;0.018938141
0;2016;0.008221143;0.006964041;0.009634112;0.005058233;0.01267925
2;1985;0.001123652;7.14E-04;0.001687789;2.42E-04;0.003323846
2;1986;0.002507407;0.001817867;0.003394656;9.14E-04;0.005742285
2;1987;0.003137334;0.002323225;0.00415657;0.001224528;0.006772653
2;1988;0.005001722;0.003883425;0.006417851;0.002265243;0.009664569
2;1989;0.001635329;0.001084176;0.002385145;4.67E-04;0.004446046
2;1990;0.002661131;0.001902437;0.003582786;9.47E-04;0.005946485
2;1991;0.003274122;0.002431148;0.004321588;0.001331857;0.006971291
2;1992;0.003298819;0.002442634;0.004347132;0.001299771;0.007067918
2;1993;0.002234247;0.001578998;0.003047783;7.44E-04;0.005227688
2;1994;0.001770801;0.001212185;0.002524216;5.18E-04;0.004562521
2;1995;0.003417735;0.002564384;0.004478408;0.001307834;0.007269861
2;1996;0.005971302;0.004711171;0.007551328;0.002829774;0.011330164
2;1997;0.002930736;0.00212415;0.003861226;0.001136801;0.006420317
2;1998;0.006073395;0.004854391;0.007652142;0.002998077;0.011194909
2;1999;0.006902497;0.005506997;0.00852092;0.00347018;0.012327563
2;2000;0.030072971;0.026652811;0.033693793;0.02151389;0.04078542
2;2001;0.001518534;0.0010072;0.002206663;3.77E-04;0.003991875
2;2002;0.008475328;0.006927315;0.010253991;0.004592674;0.01440207
2;2003;0.008469908;0.00690313;0.010333924;0.00450822;0.014651777
2;2004;0.005680709;0.004478484;0.007079722;0.002677719;0.01071056
2;2005;0.007841681;0.006404205;0.009559233;0.004157883;0.013728922
2;2006;0.01322871;0.01113658;0.015611469;0.007906589;0.020740473
2;2007;0.003313225;0.002427167;0.004372729;0.001239657;0.007027035
2;2008;0.002767337;0.001992203;0.003664846;9.88E-04;0.005949707
2;2009;0.006621252;0.005244401;0.008216143;0.003366916;0.011948324
2;2010;0.008079301;0.006619434;0.009887074;0.004273536;0.01387218
2;2011;0.009710783;0.007973433;0.011620741;0.005266406;0.016003395
2;2012;0.003466887;0.00256192;0.0045465;0.001362243;0.007312252
2;2013;0.008982369;0.007313161;0.010902368;0.004873105;0.015487682
2;2014;0.009077781;0.007507304;0.010879391;0.00491755;0.015063614
2;2015;0.00424095;0.003225862;0.005536054;0.001737437;0.008545115
2;2016;0.003658398;0.002703454;0.004826939;0.001421125;0.007626164
10;1985;0.006040887;0.005515737;0.006608041;0.004660817;0.008005648
10;1986;0.005350338;0.004895819;0.005874352;0.004084087;0.007041508
10;1987;0.005020771;0.004583408;0.005499452;0.00385368;0.006702405
10;1988;0.005845442;0.00534263;0.006428111;0.004523486;0.00769335
10;1989;0.005459461;0.004960895;0.006026343;0.00415505;0.007265697
10;1990;0.009321429;0.008473782;0.010278741;0.00710277;0.012291959
10;1991;0.005037029;0.00462158;0.005502908;0.003899437;0.006544174
10;1992;0.006075073;0.005583659;0.006615114;0.004754824;0.007885579
10;1993;0.005503921;0.005057906;0.006007416;0.004295062;0.007216108
10;1994;0.005188918;0.004766078;0.00566092;0.004062499;0.006727595
10;1995;0.005825567;0.005363324;0.006337897;0.004613746;0.00739848
10;1996;0.006012784;0.005541749;0.0065236;0.004804551;0.007667481
10;1997;0.007793202;0.00721539;0.008457983;0.006236261;0.009946967
10;1998;0.006666424;0.006183769;0.007190915;0.005367876;0.008352846
10;1999;0.00847146;0.00783453;0.00914402;0.006851002;0.010620091
10;2000;0.009293926;0.008683015;0.009933076;0.007648572;0.011336142
10;2001;0.006111282;0.005693129;0.006609212;0.004935648;0.007633165
10;2002;0.007473069;0.006964105;0.008039301;0.006109977;0.009235992
10;2003;0.009058592;0.008411747;0.009720222;0.007441994;0.011290813
10;2004;0.008269636;0.007637487;0.008967984;0.006505928;0.010525946
10;2005;0.008597729;0.008017586;0.009255768;0.007065287;0.010643485
10;2006;0.011039516;0.010232278;0.011890881;0.008960295;0.01373941
10;2007;0.011830612;0.010914064;0.012766297;0.009475745;0.014842631
10;2008;0.008962615;0.008354987;0.009646402;0.007343068;0.011042691
10;2009;0.009676014;0.009049476;0.010355121;0.00803506;0.011751032
10;2010;0.01124162;0.010457861;0.01210679;0.009138775;0.013976858
10;2011;0.0104703;0.009747615;0.01121432;0.008533743;0.012961893
10;2012;0.009275227;0.008646115;0.009927043;0.007627004;0.011316391
10;2013;0.009719013;0.009053339;0.010473197;0.007909579;0.012070484
10;2014;0.008741359;0.008159776;0.009361148;0.007126634;0.010638776
10;2015;0.0088363;0.008214686;0.009526626;0.007145263;0.011086934
10;2016;0.00823399;0.007607128;0.008915986;0.006503603;0.010367159
6;1985;0.007509234;0.006799922;0.008303088;0.005452434;0.009994404
6;1986;0.008790735;0.007961603;0.009744635;0.006548197;0.011867878
6;1987;0.008338499;0.0075664;0.009178291;0.006270886;0.011044516
6;1988;0.008018806;0.007306852;0.008833183;0.005967809;0.010610201
6;1989;0.006908834;0.006224324;0.007643137;0.00503211;0.009327805
6;1990;0.00952007;0.008524479;0.010648937;0.007037649;0.013177524
6;1991;0.006857438;0.006145056;0.007570169;0.004863864;0.009090563
6;1992;0.00820186;0.007429173;0.008967432;0.006121767;0.010663007
6;1993;0.006983666;0.006252292;0.007667142;0.005024434;0.009132945
6;1994;0.007667712;0.006912307;0.008468178;0.005561632;0.010087514
6;1995;0.008491265;0.007750209;0.009331749;0.006382097;0.011112726
6;1996;0.008869524;0.008129265;0.009722594;0.006763664;0.011702618
6;1997;0.009633074;0.008807437;0.010571141;0.007483809;0.012602721
6;1998;0.010548758;0.009675689;0.011504543;0.008156958;0.013514898
6;1999;0.010327896;0.009480803;0.011203304;0.007990004;0.013038493
6;2000;0.010301883;0.009455424;0.011202656;0.007855883;0.013221066
6;2001;0.008868805;0.008036225;0.009715201;0.006543518;0.01151072
6;2002;0.011830854;0.010874554;0.012938114;0.009187761;0.015206171
6;2003;0.012539601;0.01157645;0.013569723;0.009852263;0.015725144
6;2004;0.012088203;0.01112782;0.013225128;0.009510241;0.015547979
6;2005;0.013128721;0.012109175;0.014198223;0.010199928;0.016380766
6;2006;0.012563096;0.011575662;0.013585267;0.009780129;0.015770933
6;2007;0.015113655;0.013857347;0.016602081;0.011755012;0.01965185
6;2008;0.012640212;0.011595214;0.01373003;0.009937645;0.01590771
6;2009;0.01683485;0.01563671;0.018138099;0.013551737;0.020985831
6;2010;0.012431515;0.011378317;0.013507088;0.009543576;0.015688752
6;2011;0.013021466;0.011943629;0.014078251;0.010109942;0.016288705
6;2012;0.01693005;0.015569156;0.018430983;0.013401702;0.021688856
6;2013;0.012000897;0.010972373;0.013131647;0.009079402;0.015187623
6;2014;0.016690951;0.015486749;0.0179582;0.013456389;0.020671221
6;2015;0.013508369;0.012397579;0.014661409;0.01042455;0.016992928
6;2016;0.011495301;0.010429524;0.012599809;0.008672936;0.014894372
